"RANK","NAME","TEAM","CUR","POS","AGE","GP","MpG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PpG","RpG","ApG","SpG","BpG","TOpG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Cameron Payne","Phi","*","G","31.6","11","16.4","17.5","4.2","8","1","21","0.476","47","0.34","0.5","0.531","6.9","1.6","3.1","1.3","0.3","0.3","8.5","10","11.6","7.9","126.5","108.9"
"","Jevon Carter","Orl","*","G","30.5","12","21.7","16","11.5","7","0.571","24","0.458","60","0.317","0.47","0.477","6.9","2.2","2.8","0.8","0.5","0.9","9.1","9.8","11.9","6.4","102.3","112"
"","Leonard Miller","Chi","*","F","22.3","10","15.1","16","10.8","6","1","30","0.7","19","0.368","0.643","0.668","6.9","3.6","0.8","0.3","0.6","0.6","10.5","7.7","11.3","7.2","126.2","113.5"
"","Robert Williams III","Por","*","C-F","28.4","46","16.8","13.1","16.8","42","0.643","173","0.775","20","0.35","0.749","0.747","6.9","6.7","1.1","0.7","1.5","0.8","13.6","7.9","14.7","8.8","140","107.5"
"","Ben Sheppard","Ind","*","G","24.7","54","21.8","13.6","9.7","45","0.756","125","0.528","199","0.347","0.523","0.542","6.9","3.1","1.8","0.6","0.1","0.6","10","8.7","11.8","6.2","112.1","114.5"
"","Jaden Hardy","Dal","","G","23.7","34","12.6","23.4","12.2","40","0.775","70","0.457","124","0.371","0.521","0.551","6.9","1.4","0.9","0.3","0.1","0.8","8.2","7.7","9.1","6.5","104.5","111.2"
"","Kobe Sanders","Lac","*","G","23.8","54","20.6","15.7","18.8","53","0.811","156","0.506","145","0.4","0.551","0.578","6.9","2.4","1.6","0.6","0.1","1.3","9.3","8.6","10.9","5.8","106.7","110.4"
"","Paul Reed","Det","*","F","26.7","47","13.1","19.9","16.1","70","0.643","193","0.637","30","0.367","0.626","0.638","6.9","4.5","1.1","0.9","0.8","0.9","11.4","8","12.5","9.9","127","97.3"
"","Kevin Love","Uta","*","F-C","37.5","36","16.6","16.6","13","42","0.833","56","0.464","137","0.38","0.539","0.575","6.8","5.9","1.8","0.4","0.3","0.8","12.6","8.6","14.4","10","122","113.2"
"","Devin Carter","Sac","*","G","24","27","14.3","23.7","15","51","0.804","102","0.52","62","0.194","0.433","0.491","6.8","2.6","2.1","0.8","0.2","1.1","9.4","8.9","11.5","9.3","103.6","115.3"
"","Luke Kornet","San","*","C-F","30.7","55","21.2","10.7","9.8","94","0.819","230","0.643","0","0","0.643","0.687","6.8","6.2","1.9","0.4","1.1","0.5","13","8.7","14.9","8.1","157","105.8"
